Place ID,Place Code,Governorate,District,Location Name,Arabic Name,Latitude,Longitude,OCHA Admin 1,OCHA Admin 2,OCHA PCode,IDPs Families,IDPs Individuals,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salah al-Din,Sulaymaniyah,Thi-Qar,Wassit,Camp,Rented houses,Host Families,School Building,Religious Building,Unfinished/Abandoned building,Informal settlements,Hotel/Motel,Other shelter type,Unknown shelter type,Pre-June14 Wave,June-July14 Wave,August14 Wave,Post September14 Wave,Post April15 Wave
24526,205983,Basrah,Abu Al-Khaseeb, Mhjeran,?????? ??????,30.4618,47.9336,IQ-G02,IQ-D009,,14,84,7,,,,,,,,2,,,,3,,2,,,,,7,7,,,,,,,,,8,2,4,
24228,205962,Basrah,Abu Al-Khaseeb,Abo Jawzy,?????? / ??? ?????? /??? ?????? ,30.4629,47.9078,IQ-G02,IQ-D009,IQ-P00559,5,30,1,,,,,,,,4,,,,,,,,,,,5,,,,,,,,,,4,,1,
792,205219,Basrah,Abu Al-Khaseeb,Abu flos,?????? /??? ?????? /??? ???? ,30.441111,48.011667,IQ-G02,IQ-D009,IQ-P00562,2,12,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,,,
25540,206047,Basrah,Abu Al-Khaseeb,Abu Kusra,??? ?????,30.4551,47.9644,IQ-G02,IQ-D009,,3,18,1,,1,,,,,,,,,,,,1,,,,,2,1,,,,,,,,,1,1,1,
601,205028,Basrah,Abu Al-Khaseeb,Abu magheera,??? ?????,30.462778,47.960833,IQ-G02,IQ-D009,IQ-P00564,6,36,2,,,,,,,,,,,,,,4,,,,,1,5,,,,,,,,1,4,,1,
21638,205862,Basrah,Abu Al-Khaseeb,Al Ma'areef,?????? /??? ?????? /??????? ,30.453611,47.890278,IQ-G02,IQ-D009,IQ-P00576,4,24,1,,,,,,,,,,,,3,,,,,,,3,1,,,,,,,,,,,4,
23896,205944,Basrah,Abu Al-Khaseeb,Al-Abdaliyan,?????? /??? ?????? /????????? ,30.4803,47.8686,IQ-G02,IQ-D009,IQ-P00581,2,12,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,
23895,205943,Basrah,Abu Al-Khaseeb,Al-Awjah,?????? /??? ?????? /??????,30.433516,47.964851,IQ-G02,IQ-D009,IQ-P00585,23,138,11,,,,,,,,,,,,3,,9,,,,,13,10,,,,,,,,3,7,12,1,
587,205014,Basrah,Abu Al-Khaseeb,Al-bahadria,????????? ,30.458333,47.908333,IQ-G02,IQ-D009,IQ-P00586,3,18,,,,,,,,,,,,,2,,1,,,,,2,1,,,,,,,,,2,,1,
780,205207,Basrah,Abu Al-Khaseeb,Al-Dhaheeria,??????,30.4419,47.9708,IQ-G02,IQ-D009,IQ-P00593,5,30,5,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,4,,1,
607,205034,Basrah,Abu Al-Khaseeb,Al-Sankar,??????,30.4597,47.9132,IQ-G02,IQ-D009,IQ-P00614,2,12,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,1,1,
1307,205826,Basrah,Abu Al-Khaseeb,Al-Sibiliat,??????????,30.4632,47.9414,IQ-G02,IQ-D009,IQ-P00619,8,48,7,,,,,1,,,,,,,,,,,,,,1,7,,,,,,,,,1,,7,
841,205269,Basrah,Abu Al-Khaseeb,Awaisian,???????,30.487222,47.8575,IQ-G02,IQ-D009,IQ-P00624,13,78,9,,,,,2,,,1,,,,1,,,,,,,4,9,,,,,,,,1,6,,4,2
809,205236,Basrah,Abu Al-Khaseeb,Bab al-dabagh,??? ????,30.449167,47.994167,IQ-G02,IQ-D009,IQ-P00629,5,30,1,,,,,,,,2,,,,1,,1,,,,,,5,,,,,,,,,2,3,,
512,204939,Basrah,Abu Al-Khaseeb,Bab midan,??? ????? ,30.46,47.99,IQ-G02,IQ-D009,IQ-P00632,7,42,,,,,,,,,,,,,3,,4,,,,,5,2,,,,,,,,,,3,4,
811,205238,Basrah,Abu Al-Khaseeb,Bab sulaiman,??? ??????,30.451389,47.996667,IQ-G02,IQ-D009,IQ-P00634,7,42,2,,,,,,,,,,,,,,5,,,,,2,5,,,,,,,,,1,,5,1
797,205224,Basrah,Abu Al-Khaseeb,Bab taweel,??????/ ??? ?????? /??? ???? ,30.443611,47.99,IQ-G02,IQ-D009,IQ-P00635,6,36,,,,,,,,,,,,,,,6,,,,,,6,,,,,,,,,1,,5,
20783,205833,Basrah,Abu Al-Khaseeb,Balad Sultan,??? ?????? / ??? ?????,30.4535,47.9899,IQ-G02,IQ-D009,,4,24,1,,,,,2,,,,,,,,,1,,,,,1,3,,,,,,,,,4,,,
592,205019,Basrah,Abu Al-Khaseeb,Darb Al-lebany,?????? / ??? ?????? / ??? ???????,30.460278,47.988889,IQ-G02,IQ-D009,IQ-P00606,4,24,,,,,,,,,,,,,4,,,,,,,4,,,,,,,,,,2,2,,
24480,205980,Basrah,Abu Al-Khaseeb,Door Alasmeadh,?????? / ??? ?????? /??? ???????,30.4483,48.0254,IQ-G02,IQ-D009,,7,42,,,,,,,,,,,,,6,,1,,,,,7,,,,,,,,,,3,4,,
381,200172,Basrah,Abu Al-Khaseeb,Hamdan,?????? / ??? ?????? /????,30.44,47.9,IQ-G02,IQ-D009,IQ-P00655,67,402,17,,,,,,,,,,,,27,,23,,,,,36,31,,,,,,,,,33,12,22,
505,204932,Basrah,Abu Al-Khaseeb,Hay Al Askarye,???? ??????? ,30.43805556,47.94111111,IQ-G02,IQ-D009,IQ-P00658,11,66,5,,,,,,,,2,,,,2,,2,,,,,4,7,,,,,,,,,7,,2,2
24158,205956,Basrah,Abu Al-Khaseeb,Kut Al Solhy,??? ?????? / ??? ??????,30.4502,47.9038,IQ-G02,IQ-D009,IQ-P00681,5,30,,,,,,,,,,,,,2,,3,,,,,,5,,,,,,,,,5,,,
813,205240,Basrah,Abu Al-Khaseeb,Kut thewainy,??? ?????,30.451944,47.883611,IQ-G02,IQ-D009,IQ-P00691,4,24,,,,,,,,,,,,,2,,2,,,,,2,2,,,,,,,,,2,2,,
583,205010,Basrah,Abu Al-Khaseeb,Mehila,?????,30.4608,47.9263,IQ-G02,IQ-D009,IQ-P00694,5,30,2,,,,,,,,3,,,,,,,,,,,2,3,,,,,,,,,,3,1,1
599,205026,Basrah,Abu Al-Khaseeb,Nahir khuz,??? ???,30.461944,47.969167,IQ-G02,IQ-D009,IQ-P00699,6,36,1,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,1,,5,
20943,205835,Basrah,Abu Al-Khaseeb,Shaikh Ibraheem,??? ???????,30.44805556,47.97444444,IQ-G02,IQ-D009,IQ-P00711,7,42,,,,,,,,,,,,,5,,2,,,,,2,5,,,,,,,,,5,2,,
